Code,Aircraft,Engine,Power,Units
M04701,F-101B,J57-P-55,95.5,% NC
M04701,F-101B,J57-P-55,62.0,% NC
M04701,F-101B,J57-P-55,90.0,% NC
M04701,F-101B,J57-P-55,80.0,% NC
M04801,F-102,J57-P-23A,96.0,% NC
M04801,F-102,J57-P-23A,96.0,% NC
M04801,F-102,J57-P-23A,57.0,% NC
M04801,F-102,J57-P-23A,85.0,% NC
M04801,F-102,J57-P-23A,75.0,% NC
M04901,F-104D&G,J79-GE-11A/J79-GE-7,100.0,% RPM
M04901,F-104D&G,J79-GE-11A/J79-GE-7,100.0,% RPM
M04901,F-104D&G,J79-GE-11A/J79-GE-7,67.0,% RPM
M04901,F-104D&G,J79-GE-11A/J79-GE-7,85.0,% RPM
M05001,F-105D,J75-P-19W,102.0,% NC
M05001,F-105D,J75-P-19W,102.0,% NC
M05001,F-105D,J75-P-19W,69.0,% NC
M05001,F-105D,J75-P-19W,90.0,% NC
M05001,F-105D,J75-P-19W,80.0,% NC
M05002,F-105,J75-P-19,103.0,% RPM
M05002,F-105,J75-P-19,103.0,% RPM
M05002,F-105,J75-P-19,90.0,% RPM
M05101,F-106,J75-P-17,102.0,% RPM
M05101,F-106,J75-P-17,102.0,% RPM
M05101,F-106,J75-P-17,59.0,% RPM
M05101,F-106,J75-P-17,95.0,% RPM
M05101,F-106,J75-P-17,85.0,% RPM
M05102,F-106,J75-P-17,100.0,% RPM
M05102,F-106,J75-P-17,100.0,% RPM
M05102,F-106,J75-P-17,95.0,% RPM
M05102,F-106,J75-P-17,85.0,% RPM
M05103,F-106,J75-P-17,100.0,% RPM
M05103,F-106,J75-P-17,100.0,% RPM
M05103,F-106,J75-P-17,59.0,% RPM
M05103,F-106,J75-P-17,95.0,% RPM
M05103,F-106,J75-P-17,85.0,% RPM
M05201,F-111A&E,TF30-P-3,95.0,% NC
M05201,F-111A&E,TF30-P-3,95.0,% NC
M05201,F-111A&E,TF30-P-3,65.0,% NC
M05201,F-111A&E,TF30-P-3,85.0,% NC
M05201,F-111A&E,TF30-P-3,80.0,% NC
M05202,F-111D,TF30-P-9,95.0,% NC
M05202,F-111D,TF30-P-9,95.0,% NC
M05202,F-111D,TF30-P-9,65.0,% NC
M05202,F-111D,TF30-P-9,85.0,% NC
M05202,F-111D,TF30-P-9,80.0,% NC
M05203,F-111F,TF30-P-100,95.0,% NC
M05203,F-111F,TF30-P-100,95.0,% NC
M05203,F-111F,TF30-P-100,65.0,% NC
M05203,F-111F,TF30-P-100,85.0,% NC
M05203,F-111F,TF30-P-100,80.0,% NC
M05204,FB-111A,TF30-P-7,95.0,% NC
M05204,FB-111A,TF30-P-7,96.0,% NC
M05204,FB-111A,TF30-P-7,66.0,% NC
M05204,FB-111A,TF30-P-7,80.0,% NC
M05205,F-111F,TF30-P-100,96.0,% RPM
M05205,F-111F,TF30-P-100,96.0,% RPM
M05205,F-111F,TF30-P-100,95.0,% RPM
M05205,F-111F,TF30-P-100,85.0,% RPM
M05205,F-111F,TF30-P-100,80.0,% RPM
M05206,F-111A,TF30-P-3,96.1,% N2
M05206,F-111A,TF30-P-3,96.4,% N2
M05206,F-111A,TF30-P-3,96.5,% N2
M05206,F-111A,TF30-P-3,66.9,% N2
M05206,F-111A,TF30-P-3,75.0,% N2
M05301,F-117A,GE F404-F1D1,65.0,% RPM
M05301,F-117A,GE F404-F1D1,90.0,% RPM
M05301,F-117A,GE F404-F1D1,80.0,% RPM
M05301,F-117A,GE F404-F1D1,70.0,% RPM
M05301,F-117A,GE F404-F1D1,100.0,% RPM
M05401,KC-10A,CF6-50C2,103.0,% N1
M05401,KC-10A,CF6-50C2,24.0,% N1
M05401,KC-10A,CF6-50C2,95.0,% N1
M05401,KC-10A,CF6-50C2,70.0,% N1
M05401,KC-10A,CF6-50C2,111.0,% N1
M05401,KC-10A,CF6-50C2,45.0,% N1
M05501,KC-97L,R4360-59B & J47-GE,29.0,IN HG
M05501,KC-97L,R4360-59B & J47-GE,17.0,IN HG
M05501,KC-97L,R4360-59B & J47-GE,E 18.0,IN HG
M05501,KC-97L,R4360-59B & J47-GE,58.0,IN HG
M05501,KC-97L,R4360-59B & J47-GE,58.0,IN HG
M05601,OV-10A,T76-G-416/417,101.0,% RPM
M05601,OV-10A,T76-G-416/417,70.0,% RPM
M05601,OV-10A,T76-G-416/417,89.0,% RPM
M05701,P-3A,T56-A-14,1850.0,ESHP
M05701,P-3A,T56-A-14,170.0,ESHP
M05701,P-3A,T56-A-14,3800.0,ESHP
M05702,P-3C,T56-A-14,1850.0,ESHP
M05702,P-3C,T56-A-14,170.0,ESHP
M05702,P-3C,T56-A-14,3800.0,ESHP
M05801,S-3A&B,TF34-GE-400A/B,64.7,% NC
M05801,S-3A&B,TF34-GE-400A/B,73.0,% NC
M05801,S-3A&B,TF34-GE-400A/B,93.0,% NC
M05801,S-3A&B,TF34-GE-400A/B,96.0,% NC
M05901,SR-71,JT11D-20B(J58),80.0,% NC
M05901,SR-71,JT11D-20B(J58),70.0,% NC
M05901,SR-71,JT11D-20B(J58),20.0,% NC
M05901,SR-71,JT11D-20B(J58),50.0,% NC
M05901,SR-71,JT11D-20B(J58),75.0,% NC
M05901,SR-71,JT11D-20B(J58),30.0,% NC
M06001,T-1,JT15D-5,99.0,% NF
M06001,T-1,JT15D-5,31.0,% NF
M06001,T-1,JT15D-5,90.0,% NF
M06001,T-1,JT15D-5,70.0,% NF
M06101,T-2C,J85-GE-4A,50.0,% RPM
M06101,T-2C,J85-GE-4A,70.0,% RPM
M06101,T-2C,J85-GE-4A,100.0,% RPM
M06201,T-3 (FIREFLY),Lycoming Piston,60.0,% RPM
M06201,T-3 (FIREFLY),Lycoming Piston,94.0,% RPM
M06201,T-3 (FIREFLY),Lycoming Piston,96.0,% RPM
M06201,T-3 (FIREFLY),Lycoming Piston,97.0,% RPM
M06201,T-3 (FIREFLY),Lycoming Piston,98.0,% RPM
M06201,T-3 (FIREFLY),Lycoming Piston,98.1,% RPM
M06401,T-29,R-2800-103W,2050.0,RPM
M06401,T-29,R-2800-103W,800.0,RPM
M06401,T-29,R-2800-103W,1000.0,RPM
M06401,T-29,R-2800-103W,2800.0,RPM
M06501,T-33A,J33-A-35,35.0,% RPM
M06501,T-33A,J33-A-35,50.0,% RPM
M06501,T-33A,J33-A-35,100.0,% RPM
M06601,T-34,PT6A-25,60.0,% RPM
M06601,T-34,PT6A-25,94.0,% RPM
M06601,T-34,PT6A-25,96.0,% RPM
M06601,T-34,PT6A-25,97.0,% RPM
M06601,T-34,PT6A-25,98.0,% RPM
M06601,T-34,PT6A-25,98.1,% RPM
M06701,T-37B,J69-T-25,92.0,% RPM
M06701,T-37B,J69-T-25,37.0,% RPM
M06701,T-37B,J69-T-25,99.5,% RPM
M06801,T-38A,J85-GE-5A,100.0,% RPM
M06801,T-38A,J85-GE-5A,100.0,% RPM
M06801,T-38A,J85-GE-5A,94.0,% RPM
M06801,T-38A,J85-GE-5A,48.0,% RPM
M06801,T-38A,J85-GE-5A,75.0,% RPM
M06801,T-38A,J85-GE-5A,70.0,% RPM
M06802,T-38,J85-GE-5,100.0,% RPM
M06802,T-38,J85-GE-5,100.0,% RPM
M06802,T-38,J85-GE-5,80.0,% RPM
M06803,T-38,J85-GE-5A,100.0,% RPM
M06803,T-38,J85-GE-5A,99.5,% RPM
M06803,T-38,J85-GE-5A,94.0,% RPM
M06803,T-38,J85-GE-5A,48.0,% RPM
M06803,T-38,J85-GE-5A,75.0,% RPM
M06901,T-39A,J60-P-3A,100.0,% RPM
M06901,T-39A,J60-P-3A,41.0,% RPM
M06901,T-39A,J60-P-3A,85.0,% RPM
M06901,T-39A,J60-P-3A,75.0,% RPM
M07001,T-41,O-300-C,60.0,% RPM
M07001,T-41,O-300-C,94.0,% RPM
M07001,T-41,O-300-C,96.0,% RPM
M07001,T-41,O-300-C,97.0,% RPM
M07001,T-41,O-300-C,98.0,% RPM
M07001,T-41,O-300-C,98.1,% RPM
M07101,T-42,IO-470-L,60.0,% RPM
M07101,T-42,IO-470-L,94.0,% RPM
M07101,T-42,IO-470-L,96.0,% RPM
M07101,T-42,IO-470-L,97.0,% RPM
M07101,T-42,IO-470-L,98.0,% RPM
M07101,T-42,IO-470-L,98.1,% RPM
M07201,T-43A,JT8D-9A,1.0,EPR
M07201,T-43A,JT8D-9A,1.8,EPR
M07201,T-43A,JT8D-9A,1.7,EPR
M07201,T-43A,JT8D-9A,1.5,EPR
M07201,T-43A,JT8D-9A,2.0,EPR
M07301,T-44,PT6A-34B,60.0,% RPM
M07301,T-44,PT6A-34B,94.0,% RPM
M07301,T-44,PT6A-34B,96.0,% RPM
M07301,T-44,PT6A-34B,97.0,% RPM
M07301,T-44,PT6A-34B,98.0,% RPM
M07301,T-44,PT6A-34B,98.1,% RPM
M07401,T-45,F405-RR-401,100.0,% RPM
M07401,T-45,F405-RR-401,55.0,% RPM
M07401,T-45,F405-RR-401,90.0,% RPM
M07401,T-45,F405-RR-401,70.0,% RPM
M07501,TR-1,J75-P-13,100.0,% RPM
M07501,TR-1,J75-P-13,68.0,% RPM
M07501,TR-1,J75-P-13,85.0,% RPM
M07601,U-2,J75-P-13,100.0,% RPM
M07601,U-2,J75-P-13,68.0,% RPM
M07601,U-2,J75-P-13,85.0,% RPM
M07701,U-4B,GSO-480-A1A6/B1,48.0,IN HG
M07701,U-4B,GSO-480-A1A6/B1,14.0,IN HG
M07801,U-6,PT6A-25,60.0,% RPM
M07801,U-6,PT6A-25,94.0,% RPM
M07801,U-6,PT6A-25,96.0,% RPM
M07801,U-6,PT6A-25,97.0,% RPM
M07801,U-6,PT6A-25,98.0,% RPM
M07801,U-6,PT6A-25,98.1,% RPM
M07901,U-8F,LYC 480-A1,100.0,% RPM
M07901,U-8F,LYC 480-A1,30.0,% RPM
M08001,U-21,PT6A-30,60.0,% RPM
M08001,U-21,PT6A-30,94.0,% RPM
M08001,U-21,PT6A-30,96.0,% RPM
M08001,U-21,PT6A-30,97.0,% RPM
M08001,U-21,PT6A-30,98.0,% RPM
M08001,U-21,PT6A-30,98.1,% RPM
M08101,YC-14,CF6-50D,100.0,% NF
M08101,YC-14,CF6-50D,22.0,% NF
M08101,YC-14,CF6-50D,85.0,% NF
M08101,YC-14,CF6-50D,111.0,% NF
M08102,YC-14 FLAPS 30,CF6-50D,85.0,% NF
M08102,YC-14 FLAPS 30,CF6-50D,110.0,% NF
M08102,YC-14 FLAPS 30,CF6-50D,22.0,% NF
M08103,YC-14 THRUSTER,CF6-50D,22.0,% NF
M08103,YC-14 THRUSTER,CF6-50D,85.0,% NF
M08201,YC-15,"JT8D-17, -209",1.0,EPR
M08201,YC-15,"JT8D-17, -209",1.8,EPR
M08201,YC-15,"JT8D-17, -209",1.0,EPR
M08201,YC-15,"JT8D-17, -209",1.9,EPR
M08202,YC-15 FLAPS 24,"JT8D-17, -209",1.9,EPR
M08202,YC-15 FLAPS 24,"JT8D-17, -209",1.0,EPR
M08202,YC-15 FLAPS 24,"JT8D-17, -209",G 2.2,EPR
M08301,JPATS,TP PT6A-68,60.0,% TORQUE
M08301,JPATS,TP PT6A-68,94.0,% TORQUE
M08301,JPATS,TP PT6A-68,96.0,% TORQUE
M08301,JPATS,TP PT6A-68,97.0,% TORQUE
M08301,JPATS,TP PT6A-68,98.0,% TORQUE
M08301,JPATS,TP PT6A-68,98.1,% TORQUE
M08401,E-2C,T56-A-427,5155.0,ISHP
M08401,E-2C,T56-A-427,790.0,ISHP
M08401,E-2C,T56-A-427,1075.0,ISHP
M08401,E-2C,T56-A-427,380.0,ISHP
M08401,E-2C,T56-A-427,175.0,ISHP
M22201,L-1011-1,RB211-22B Turbofans,10.0,% SLTT
M22201,L-1011-1,RB211-22B Turbofans,80.0,% SLTT
M22201,L-1011-1,RB211-22B Turbofans,65.0,% SLTT
M22201,L-1011-1,RB211-22B Turbofans,40.0,% SLTT
M45001,PHANTOM,Spey Mk 202,100.0,% RPM
M45001,PHANTOM,Spey Mk 202,100.0,% RPM
M45001,PHANTOM,Spey Mk 202,65.0,% RPM
M45001,PHANTOM,Spey Mk 202,85.0,% RPM
M45101,TORNADO,RB.199-34R-04,100.0,% RPM
M45101,TORNADO,RB.199-34R-04,100.0,% RPM
M45101,TORNADO,RB.199-34R-04,95.0,% RPM
M45101,TORNADO,RB.199-34R-04,85.0,% RPM
M45101,TORNADO,RB.199-34R-04,65.0,% RPM
M45101,TORNADO,RB.199-34R-04,101.0,% RPM
M45201,JAGUAR,Turbomeca Adour,64.7,% RPM
M45201,JAGUAR,Turbomeca Adour,73.0,% RPM
M45201,JAGUAR,Turbomeca Adour,96.0,% RPM
M45301,LIGHTNING,Avon 302C,100.0,% RPM
M45301,LIGHTNING,Avon 302C,100.0,% RPM
M45301,LIGHTNING,Avon 302C,65.0,% RPM
M45301,LIGHTNING,Avon 302C,85.0,% RPM
M45401,BUCCANEER,Spey Turbojets,100.0,% RPM
M45401,BUCCANEER,Spey Turbojets,100.0,% RPM
M45401,BUCCANEER,Spey Turbojets,65.0,% RPM
M45401,BUCCANEER,Spey Turbojets,85.0,% RPM
M45501,HARRIER,Pegasus,27.0,% RPM
M45501,HARRIER,Pegasus,55.0,% RPM
M45501,HARRIER,Pegasus,98.0,% RPM
M45601,HUNTER,Avon Turbojet,100.0,% RPM
M45601,HUNTER,Avon Turbojet,97.0,% RPM
M45601,HUNTER,Avon Turbojet,53.0,% RPM
M45601,HUNTER,Avon Turbojet,70.0,% RPM
M45701,VICTOR,Conway Turbofans,97.0,% RPM
M45701,VICTOR,Conway Turbofans,57.0,% RPM
M45701,VICTOR,Conway Turbofans,90.0,% RPM
M45701,VICTOR,Conway Turbofans,80.0,% RPM
M45701,VICTOR,Conway Turbofans,70.0,% RPM
M45701,VICTOR,Conway Turbofans,100.0,% RPM
M45801,VULCAN,Olynpus 301,97.6,% RPM
M45801,VULCAN,Olynpus 301,97.2,% RPM
M45801,VULCAN,Olynpus 301,70.5,% RPM
M45901,NIMROD,Spey Mk 511-5W,60.0,% RPM
M45901,NIMROD,Spey Mk 511-5W,80.0,% RPM
M45901,NIMROD,Spey Mk 511-5W,100.0,% RPM
M46001,VC10,Conway Turbofans,98.0,% RPM
M46001,VC10,Conway Turbofans,56.5,% RPM
M46001,VC10,Conway Turbofans,94.0,% RPM
M46001,VC10,Conway Turbofans,90.0,% RPM
M46001,VC10,Conway Turbofans,87.0,% RPM
M46101,HAWK,RR Adour,100.0,% RPM
M46101,HAWK,RR Adour,55.0,% RPM
M46101,HAWK,RR Adour,90.0,% RPM
M46101,HAWK,RR Adour,70.0,% RPM
M46201,PROVOST,Viper 202,35.0,% RPM
M46201,PROVOST,Viper 202,50.0,% RPM
M46201,PROVOST,Viper 202,100.0,% RPM
M46301,DOMINIE,Viper 521 Turbojet,100.0,% RPM
M46301,DOMINIE,Viper 521 Turbojet,41.0,% RPM
M46301,DOMINIE,Viper 521 Turbojet,85.0,% RPM
M46301,DOMINIE,Viper 521 Turbojet,75.0,% RPM
M46401,CANBERRA,Avon Turbojet,61.0,% RPM
M46401,CANBERRA,Avon Turbojet,90.0,% RPM
M46401,CANBERRA,Avon Turbojet,80.0,% RPM
M46401,CANBERRA,Avon Turbojet,94.0,% RPM
M46501,HS748,Dart 7 Mk 535,72.0,% RPM
M46501,HS748,Dart 7 Mk 535,25.0,% RPM
M46501,HS748,Dart 7 Mk 535,100.0,% RPM
M46501,HS748,Dart 7 Mk 535,62.0,% RPM
M61101,AH-1G,T53-L-13,1.0,POWER
M61101,AH-1G,T53-L-13,2.0,POWER
M61201,AH64,T700-GE-701,1.0,POWER
M61201,AH64,T700-GE-701,2.0,POWER
M61201,AH64,T700-GE-701,3.0,POWER
M61301,CH-54,JTFD 12,1.0,POWER
M61301,CH-54,JTFD 12,2.0,POWER
M61401,OH58,Allison 250,1.0,POWER
M61401,OH58,Allison 250,2.0,POWER
M61501,OH58D,Allison 250 C30R,1.0,POWER
M61501,OH58D,Allison 250 C30R,2.0,POWER
M61501,OH58D,Allison 250 C30R,3.0,POWER
M61601,TH55,Lycoming Piston,1.0,POWER
M61701,UH-1B,T53-L-11,1.0,POWER
M61701,UH-1B,T53-L-11,2.0,POWER
M61801,UH-1M,T53-L-13,1.0,POWER
M61801,UH-1M,T53-L-13,2.0,POWER
M61901,CH47B,T55 Turboshafts,1.0,POWER
M61901,CH47B,T55 Turboshafts,2.0,POWER
M62001,CH47D,T55-L-712,1.0,POWER
M62001,CH47D,T55-L-712,2.0,POWER
M62001,CH47D,T55-L-712,3.0,POWER
M62001,CH47D,T55-L-712,4.0,POWER
M62001,CH47D,T55-L-712,5.0,POWER
M62101,UH60A,T700-CE-700,1.0,POWER
M62101,UH60A,T700-CE-700,2.0,POWER
M62101,UH60A,T700-CE-700,3.0,POWER
M62101,UH60A,T700-CE-700,4.0,POWER
M62101,UH60A,T700-CE-700,5.0,POWER
M62201,CH-53E,T64-GE-416A,7.0,%QQBPA
M62201,CH-53E,T64-GE-416A,75.0,%QQBPA
M62201,CH-53E,T64-GE-416A,85.0,%QQBPA
M62201,CH-53E,T64-GE-416A,21.0,%QQBPA
M62301,CH-46E,T58-GE-16,15.0,%QQBPA
M62301,CH-46E,T58-GE-16,72.0,%QQBPA
M62301,CH-46E,T58-GE-16,75.0,%QQBPA
M62301,CH-46E,T58-GE-16,18.0,%QQBPA
M08902,F-35A,F-135-PW-100,12.0,% ETR
M08902,F-35A,F-135-PW-100,50.0,% ETR
M08902,F-35A,F-135-PW-100,75.0,% ETR
M08902,F-35A,F-135-PW-100,100.0,% ETR
M08902,F-35A,F-135-PW-100,130.0,% ETR
M08902,F-35A,F-135-PW-100,150.0,% ETR
M08902,F-35A,F-135-PW-100,996.0,% ETR
M08903,F-35B,F-135-PW-600,12.0,% ETR
M08903,F-35B,F-135-PW-600,25.0,% ETR
M08903,F-35B,F-135-PW-600,50.0,% ETR
M08903,F-35B,F-135-PW-600,75.0,% ETR
M08903,F-35B,F-135-PW-600,100.0,% ETR
M08903,F-35B,F-135-PW-600,130.0,% ETR
M08903,F-35B,F-135-PW-600,150.0,% ETR
M08903,F-35B,F-135-PW-600,996.0,% ETR
M08904,F-35BV,F-135-PW-600,997.0,% ETR
M08904,F-35BV,F-135-PW-600,998.0,% ETR
